39;2021-11-16 23:17:15.243745
29;2021-11-16 23:17:16.421524
33;2021-11-16 23:17:17.553734
43;2021-11-16 23:17:18.746917
34;2021-11-16 23:17:19.913811
20;2021-11-16 23:17:21.104695
21;2021-11-16 23:17:22.373926
45;2021-11-16 23:17:23.562279
20;2021-11-16 23:17:24.736222
39;2021-11-16 23:17:26.141302
32;2021-11-16 23:17:27.281639
24;2021-11-16 23:17:28.401892
24;2021-11-16 23:17:29.612197
44;2021-11-16 23:17:30.748959
42;2021-11-16 23:17:31.881123
36;2021-11-16 23:17:33.006050
29;2021-11-16 23:17:34.119627
22;2021-11-16 23:17:35.360599
38;2021-11-16 23:17:36.500961
36;2021-11-16 23:17:37.613579
42;2021-11-16 23:17:38.717512
23;2021-11-16 23:17:39.848990
36;2021-11-16 23:17:40.970136
33;2021-11-16 23:17:42.073303
20;2021-11-16 23:17:43.199160
34;2021-11-16 23:17:44.354868
44;2021-11-16 23:17:45.499935
28;2021-11-16 23:17:46.633637
23;2021-11-16 23:17:47.750114
29;2021-11-16 23:17:48.869503
