37;2021-11-16 23:17:15.246743
31;2021-11-16 23:17:16.422503
30;2021-11-16 23:17:17.570723
41;2021-11-16 23:17:18.771902
36;2021-11-16 23:17:19.915789
37;2021-11-16 23:17:21.117689
25;2021-11-16 23:17:22.389917
42;2021-11-16 23:17:23.563275
34;2021-11-16 23:17:24.785194
37;2021-11-16 23:17:26.146297
32;2021-11-16 23:17:27.282638
45;2021-11-16 23:17:28.403891
44;2021-11-16 23:17:29.615195
40;2021-11-16 23:17:30.750956
40;2021-11-16 23:17:31.882119
24;2021-11-16 23:17:33.008049
37;2021-11-16 23:17:34.121626
33;2021-11-16 23:17:35.362598
28;2021-11-16 23:17:36.503959
25;2021-11-16 23:17:37.615578
36;2021-11-16 23:17:38.719511
44;2021-11-16 23:17:39.850989
31;2021-11-16 23:17:40.976132
30;2021-11-16 23:17:42.077300
38;2021-11-16 23:17:43.205159
38;2021-11-16 23:17:44.355872
23;2021-11-16 23:17:45.500935
25;2021-11-16 23:17:46.634635
35;2021-11-16 23:17:47.756110
38;2021-11-16 23:17:48.871502
